phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-04-28 18:19:46,0.0,2026/04/28 18:19:46.500,NVIDIA GeForce RTX 3080,0,42,43.43,1710,9251,1442,10240,30,
idle,2026-04-28 18:19:48,2.11,2026/04/28 18:19:48.596,NVIDIA GeForce RTX 3080,0,45,99.86,1710,9251,1443,10240,30,
idle,2026-04-28 18:19:50,4.2,2026/04/28 18:19:50.688,NVIDIA GeForce RTX 3080,1,46,100.13,1710,9251,1443,10240,30,
idle,2026-04-28 18:19:52,6.29,2026/04/28 18:19:52.774,NVIDIA GeForce RTX 3080,0,46,100.24,1710,9251,1443,10240,30,
idle,2026-04-28 18:19:54,8.39,2026/04/28 18:19:54.892,NVIDIA GeForce RTX 3080,0,42,38.19,210,405,1443,10240,30,
idle,2026-04-28 18:19:57,10.53,2026/04/28 18:19:57.029,NVIDIA GeForce RTX 3080,0,42,35.43,210,405,1443,10240,30,
idle,2026-04-28 18:19:59,12.66,2026/04/28 18:19:59.164,NVIDIA GeForce RTX 3080,0,41,35.01,210,405,1443,10240,30,
idle,2026-04-28 18:20:01,14.8,2026/04/28 18:20:01.303,NVIDIA GeForce RTX 3080,0,41,35.15,210,405,1443,10240,30,
idle,2026-04-28 18:20:03,16.94,2026/04/28 18:20:03.441,NVIDIA GeForce RTX 3080,0,41,35.11,210,405,1443,10240,30,
idle,2026-04-28 18:20:05,19.08,2026/04/28 18:20:05.564,NVIDIA GeForce RTX 3080,3,41,35.09,210,405,1443,10240,30,
idle,2026-04-28 18:20:07,21.2,2026/04/28 18:20:07.687,NVIDIA GeForce RTX 3080,0,41,35.09,210,405,1443,10240,30,
idle,2026-04-28 18:20:09,23.32,2026/04/28 18:20:09.827,NVIDIA GeForce RTX 3080,0,41,35.22,210,405,1443,10240,30,
idle,2026-04-28 18:20:11,25.46,2026/04/28 18:20:11.950,NVIDIA GeForce RTX 3080,0,41,35.13,210,405,1443,10240,30,
idle,2026-04-28 18:20:14,27.59,2026/04/28 18:20:14.091,NVIDIA GeForce RTX 3080,2,41,35.11,210,405,1443,10240,30,
idle,2026-04-28 18:20:16,29.73,2026/04/28 18:20:16.231,NVIDIA GeForce RTX 3080,0,41,35.10,210,405,1443,10240,30,
idle,2026-04-28 18:20:18,31.86,2026/04/28 18:20:18.368,NVIDIA GeForce RTX 3080,0,41,35.12,210,405,1443,10240,30,
