phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-05-09 02:14:58,0.0,2026/05/09 02:14:58.489,NVIDIA GeForce RTX 3080,0,41,69.62,1710,9251,1344,10240,30,
idle,2026-05-09 02:15:00,2.08,2026/05/09 02:15:00.580,NVIDIA GeForce RTX 3080,1,43,99.82,1710,9251,1344,10240,30,
idle,2026-05-09 02:15:02,4.17,2026/05/09 02:15:02.676,NVIDIA GeForce RTX 3080,0,43,99.94,1710,9251,1344,10240,30,
idle,2026-05-09 02:15:04,6.26,2026/05/09 02:15:04.763,NVIDIA GeForce RTX 3080,0,42,80.79,315,810,1344,10240,30,
idle,2026-05-09 02:15:06,8.36,2026/05/09 02:15:06.846,NVIDIA GeForce RTX 3080,1,40,36.53,210,405,1344,10240,30,
idle,2026-05-09 02:15:08,10.43,2026/05/09 02:15:08.920,NVIDIA GeForce RTX 3080,0,39,36.47,210,405,1344,10240,30,
idle,2026-05-09 02:15:11,12.51,2026/05/09 02:15:11.012,NVIDIA GeForce RTX 3080,0,39,36.38,210,405,1344,10240,30,
idle,2026-05-09 02:15:13,14.61,2026/05/09 02:15:13.113,NVIDIA GeForce RTX 3080,0,39,36.40,210,405,1344,10240,30,
idle,2026-05-09 02:15:15,16.71,2026/05/09 02:15:15.211,NVIDIA GeForce RTX 3080,1,39,36.24,210,405,1344,10240,30,
idle,2026-05-09 02:15:17,18.81,2026/05/09 02:15:17.301,NVIDIA GeForce RTX 3080,0,39,36.26,210,405,1344,10240,30,
idle,2026-05-09 02:15:19,20.9,2026/05/09 02:15:19.406,NVIDIA GeForce RTX 3080,0,39,36.49,210,405,1344,10240,30,
idle,2026-05-09 02:15:21,23.0,2026/05/09 02:15:21.503,NVIDIA GeForce RTX 3080,2,39,36.41,210,405,1344,10240,30,
idle,2026-05-09 02:15:23,25.09,2026/05/09 02:15:23.594,NVIDIA GeForce RTX 3080,0,39,36.37,210,405,1344,10240,30,
idle,2026-05-09 02:15:25,27.19,2026/05/09 02:15:25.671,NVIDIA GeForce RTX 3080,6,39,36.35,210,405,1344,10240,30,
idle,2026-05-09 02:15:27,29.29,2026/05/09 02:15:27.795,NVIDIA GeForce RTX 3080,0,39,36.26,210,405,1344,10240,30,
idle,2026-05-09 02:15:29,31.39,2026/05/09 02:15:29.888,NVIDIA GeForce RTX 3080,0,39,36.45,210,405,1344,10240,30,
idle,2026-05-09 02:15:31,33.48,2026/05/09 02:15:31.965,NVIDIA GeForce RTX 3080,0,39,36.40,210,405,1344,10240,30,
idle,2026-05-09 02:15:34,35.56,2026/05/09 02:15:34.058,NVIDIA GeForce RTX 3080,3,39,36.36,210,405,1344,10240,30,
idle,2026-05-09 02:15:36,37.65,2026/05/09 02:15:36.153,NVIDIA GeForce RTX 3080,0,39,36.38,210,405,1344,10240,30,
idle,2026-05-09 02:15:38,39.75,2026/05/09 02:15:38.253,NVIDIA GeForce RTX 3080,0,39,36.28,210,405,1344,10240,30,
idle,2026-05-09 02:15:40,41.84,2026/05/09 02:15:40.341,NVIDIA GeForce RTX 3080,0,39,36.22,210,405,1344,10240,30,
idle,2026-05-09 02:15:42,43.93,2026/05/09 02:15:42.434,NVIDIA GeForce RTX 3080,0,39,36.39,210,405,1344,10240,30,
idle,2026-05-09 02:15:44,46.02,2026/05/09 02:15:44.522,NVIDIA GeForce RTX 3080,0,39,36.30,210,405,1344,10240,30,
idle,2026-05-09 02:15:46,48.12,2026/05/09 02:15:46.618,NVIDIA GeForce RTX 3080,0,39,36.33,210,405,1344,10240,30,
idle,2026-05-09 02:15:48,50.21,2026/05/09 02:15:48.711,NVIDIA GeForce RTX 3080,0,39,36.40,210,405,1344,10240,30,
idle,2026-05-09 02:15:50,52.31,2026/05/09 02:15:50.808,NVIDIA GeForce RTX 3080,0,39,36.25,210,405,1344,10240,30,
idle,2026-05-09 02:15:52,54.41,2026/05/09 02:15:52.906,NVIDIA GeForce RTX 3080,0,39,36.29,210,405,1344,10240,30,
idle,2026-05-09 02:15:55,56.5,2026/05/09 02:15:55.000,NVIDIA GeForce RTX 3080,0,39,36.26,210,405,1344,10240,30,
idle,2026-05-09 02:15:57,58.58,2026/05/09 02:15:57.074,NVIDIA GeForce RTX 3080,0,39,36.31,210,405,1344,10240,30,
