phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-05-08 02:22:36,0.0,2026/05/08 02:22:36.849,NVIDIA GeForce RTX 3080,0,45,74.56,1710,9251,1307,10240,30,
idle,2026-05-08 02:22:38,2.07,2026/05/08 02:22:38.921,NVIDIA GeForce RTX 3080,0,46,100.82,1710,9251,1307,10240,30,
idle,2026-05-08 02:22:41,4.14,2026/05/08 02:22:41.010,NVIDIA GeForce RTX 3080,0,47,100.96,1710,9251,1307,10240,30,
idle,2026-05-08 02:22:43,6.24,2026/05/08 02:22:43.105,NVIDIA GeForce RTX 3080,0,47,95.43,345,810,1307,10240,30,
idle,2026-05-08 02:22:45,8.33,2026/05/08 02:22:45.195,NVIDIA GeForce RTX 3080,0,44,38.54,210,405,1307,10240,30,
idle,2026-05-08 02:22:47,10.42,2026/05/08 02:22:47.286,NVIDIA GeForce RTX 3080,0,43,37.49,210,405,1307,10240,30,
idle,2026-05-08 02:22:49,12.51,2026/05/08 02:22:49.361,NVIDIA GeForce RTX 3080,0,43,37.53,210,405,1307,10240,30,
idle,2026-05-08 02:22:51,14.58,2026/05/08 02:22:51.449,NVIDIA GeForce RTX 3080,0,43,37.71,210,405,1307,10240,30,
idle,2026-05-08 02:22:53,16.67,2026/05/08 02:22:53.539,NVIDIA GeForce RTX 3080,0,43,37.51,210,405,1307,10240,30,
idle,2026-05-08 02:22:55,18.77,2026/05/08 02:22:55.617,NVIDIA GeForce RTX 3080,0,43,37.48,210,405,1307,10240,30,
idle,2026-05-08 02:22:57,20.85,2026/05/08 02:22:57.711,NVIDIA GeForce RTX 3080,0,43,37.13,210,405,1307,10240,30,
idle,2026-05-08 02:22:59,22.94,2026/05/08 02:22:59.789,NVIDIA GeForce RTX 3080,0,43,37.40,210,405,1309,10240,30,
idle,2026-05-08 02:23:01,25.02,2026/05/08 02:23:01.881,NVIDIA GeForce RTX 3080,0,42,37.48,210,405,1308,10240,30,
idle,2026-05-08 02:23:03,27.11,2026/05/08 02:23:03.980,NVIDIA GeForce RTX 3080,0,42,37.38,210,405,1308,10240,30,
idle,2026-05-08 02:23:06,29.2,2026/05/08 02:23:06.068,NVIDIA GeForce RTX 3080,0,42,37.36,210,405,1308,10240,30,
idle,2026-05-08 02:23:08,31.29,2026/05/08 02:23:08.142,NVIDIA GeForce RTX 3080,0,42,37.44,210,405,1308,10240,30,
idle,2026-05-08 02:23:10,33.37,2026/05/08 02:23:10.233,NVIDIA GeForce RTX 3080,0,42,37.42,210,405,1308,10240,30,
idle,2026-05-08 02:23:12,35.46,2026/05/08 02:23:12.323,NVIDIA GeForce RTX 3080,0,42,37.28,210,405,1308,10240,30,
idle,2026-05-08 02:23:14,37.55,2026/05/08 02:23:14.411,NVIDIA GeForce RTX 3080,0,42,37.33,210,405,1308,10240,30,
idle,2026-05-08 02:23:16,39.64,2026/05/08 02:23:16.489,NVIDIA GeForce RTX 3080,0,42,37.35,210,405,1309,10240,30,
idle,2026-05-08 02:23:18,41.72,2026/05/08 02:23:18.568,NVIDIA GeForce RTX 3080,0,42,37.40,210,405,1307,10240,30,
idle,2026-05-08 02:23:20,43.79,2026/05/08 02:23:20.642,NVIDIA GeForce RTX 3080,0,42,37.25,210,405,1307,10240,30,
idle,2026-05-08 02:23:22,45.87,2026/05/08 02:23:22.732,NVIDIA GeForce RTX 3080,0,42,37.20,210,405,1307,10240,30,
idle,2026-05-08 02:23:24,47.95,2026/05/08 02:23:24.821,NVIDIA GeForce RTX 3080,0,42,37.15,210,405,1307,10240,30,
idle,2026-05-08 02:23:26,50.05,2026/05/08 02:23:26.911,NVIDIA GeForce RTX 3080,0,42,37.34,210,405,1307,10240,30,
idle,2026-05-08 02:23:29,52.14,2026/05/08 02:23:29.002,NVIDIA GeForce RTX 3080,0,42,37.07,210,405,1307,10240,30,
idle,2026-05-08 02:23:31,54.23,2026/05/08 02:23:31.093,NVIDIA GeForce RTX 3080,0,42,37.12,210,405,1307,10240,30,
idle,2026-05-08 02:23:33,56.32,2026/05/08 02:23:33.164,NVIDIA GeForce RTX 3080,0,42,37.13,210,405,1307,10240,30,
idle,2026-05-08 02:23:35,58.4,2026/05/08 02:23:35.261,NVIDIA GeForce RTX 3080,1,42,37.08,210,405,1307,10240,30,
idle,2026-05-08 02:23:37,60.48,2026/05/08 02:23:37.350,NVIDIA GeForce RTX 3080,1,42,37.28,210,405,1307,10240,30,
idle,2026-05-08 02:23:39,62.58,2026/05/08 02:23:39.441,NVIDIA GeForce RTX 3080,1,42,37.23,210,405,1307,10240,30,
idle,2026-05-08 02:23:41,64.66,2026/05/08 02:23:41.529,NVIDIA GeForce RTX 3080,0,42,37.36,210,405,1307,10240,30,
idle,2026-05-08 02:23:43,66.75,2026/05/08 02:23:43.619,NVIDIA GeForce RTX 3080,0,42,37.26,210,405,1307,10240,30,
idle,2026-05-08 02:23:45,68.84,2026/05/08 02:23:45.709,NVIDIA GeForce RTX 3080,0,42,37.25,210,405,1307,10240,30,
idle,2026-05-08 02:23:47,70.94,2026/05/08 02:23:47.801,NVIDIA GeForce RTX 3080,0,42,37.27,210,405,1307,10240,30,
idle,2026-05-08 02:23:49,73.03,2026/05/08 02:23:49.891,NVIDIA GeForce RTX 3080,0,42,37.24,210,405,1307,10240,30,
idle,2026-05-08 02:23:51,75.12,2026/05/08 02:23:51.983,NVIDIA GeForce RTX 3080,0,42,37.17,210,405,1307,10240,30,
idle,2026-05-08 02:23:54,77.2,2026/05/08 02:23:54.071,NVIDIA GeForce RTX 3080,2,42,37.28,210,405,1307,10240,30,
idle,2026-05-08 02:23:56,79.3,2026/05/08 02:23:56.164,NVIDIA GeForce RTX 3080,0,42,37.13,210,405,1307,10240,30,
idle,2026-05-08 02:23:58,81.39,2026/05/08 02:23:58.259,NVIDIA GeForce RTX 3080,0,42,37.21,210,405,1307,10240,30,
idle,2026-05-08 02:24:00,83.49,2026/05/08 02:24:00.336,NVIDIA GeForce RTX 3080,0,42,37.04,210,405,1306,10240,30,
idle,2026-05-08 02:24:02,85.56,2026/05/08 02:24:02.429,NVIDIA GeForce RTX 3080,0,42,37.12,210,405,1306,10240,30,
idle,2026-05-08 02:24:04,87.65,2026/05/08 02:24:04.505,NVIDIA GeForce RTX 3080,0,42,37.12,210,405,1306,10240,30,
idle,2026-05-08 02:24:06,89.73,2026/05/08 02:24:06.596,NVIDIA GeForce RTX 3080,0,42,37.12,210,405,1306,10240,30,
idle,2026-05-08 02:24:08,91.82,2026/05/08 02:24:08.669,NVIDIA GeForce RTX 3080,2,42,37.22,210,405,1306,10240,30,
idle,2026-05-08 02:24:10,93.9,2026/05/08 02:24:10.760,NVIDIA GeForce RTX 3080,0,42,37.11,210,405,1306,10240,30,
idle,2026-05-08 02:24:12,95.99,2026/05/08 02:24:12.851,NVIDIA GeForce RTX 3080,0,42,37.21,210,405,1306,10240,30,
idle,2026-05-08 02:24:14,98.07,2026/05/08 02:24:14.935,NVIDIA GeForce RTX 3080,0,42,37.19,210,405,1306,10240,30,
idle,2026-05-08 02:24:17,100.16,2026/05/08 02:24:17.014,NVIDIA GeForce RTX 3080,0,42,37.35,210,405,1306,10240,30,
idle,2026-05-08 02:24:19,102.24,2026/05/08 02:24:19.102,NVIDIA GeForce RTX 3080,1,42,37.16,210,405,1306,10240,30,
idle,2026-05-08 02:24:21,104.33,2026/05/08 02:24:21.200,NVIDIA GeForce RTX 3080,3,42,37.25,210,405,1306,10240,30,
idle,2026-05-08 02:24:23,106.43,2026/05/08 02:24:23.291,NVIDIA GeForce RTX 3080,0,41,37.31,210,405,1306,10240,30,
idle,2026-05-08 02:24:25,108.52,2026/05/08 02:24:25.386,NVIDIA GeForce RTX 3080,0,41,37.30,210,405,1306,10240,30,
idle,2026-05-08 02:24:27,110.61,2026/05/08 02:24:27.477,NVIDIA GeForce RTX 3080,0,41,37.38,210,405,1306,10240,30,
idle,2026-05-08 02:24:29,112.7,2026/05/08 02:24:29.568,NVIDIA GeForce RTX 3080,0,41,37.29,210,405,1306,10240,30,
idle,2026-05-08 02:24:31,114.8,2026/05/08 02:24:31.660,NVIDIA GeForce RTX 3080,0,41,37.33,210,405,1306,10240,30,
idle,2026-05-08 02:24:33,116.89,2026/05/08 02:24:33.739,NVIDIA GeForce RTX 3080,2,41,36.98,210,405,1306,10240,30,
idle,2026-05-08 02:24:35,118.96,2026/05/08 02:24:35.811,NVIDIA GeForce RTX 3080,0,41,37.26,210,405,1306,10240,30,
idle,2026-05-08 02:24:37,121.04,2026/05/08 02:24:37.902,NVIDIA GeForce RTX 3080,0,41,37.38,210,405,1306,10240,30,
idle,2026-05-08 02:24:40,123.13,2026/05/08 02:24:39.996,NVIDIA GeForce RTX 3080,0,41,37.35,210,405,1306,10240,30,
idle,2026-05-08 02:24:42,125.22,2026/05/08 02:24:42.074,NVIDIA GeForce RTX 3080,0,41,37.15,210,405,1306,10240,30,
idle,2026-05-08 02:24:44,127.3,2026/05/08 02:24:44.148,NVIDIA GeForce RTX 3080,0,41,37.13,210,405,1306,10240,30,
idle,2026-05-08 02:24:46,129.37,2026/05/08 02:24:46.238,NVIDIA GeForce RTX 3080,0,41,37.21,210,405,1306,10240,30,
idle,2026-05-08 02:24:48,131.46,2026/05/08 02:24:48.327,NVIDIA GeForce RTX 3080,0,41,37.13,210,405,1306,10240,30,
idle,2026-05-08 02:24:50,133.55,2026/05/08 02:24:50.418,NVIDIA GeForce RTX 3080,0,41,37.14,210,405,1306,10240,30,
idle,2026-05-08 02:24:52,135.65,2026/05/08 02:24:52.511,NVIDIA GeForce RTX 3080,0,41,37.24,210,405,1306,10240,30,
