phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-05-01 01:09:14,0.0,2026/05/01 01:09:14.676,NVIDIA GeForce RTX 3080,0,42,65.60,1710,9251,1242,10240,30,
idle,2026-05-01 01:09:16,2.12,2026/05/01 01:09:16.777,NVIDIA GeForce RTX 3080,1,44,99.99,1710,9251,1242,10240,30,
idle,2026-05-01 01:09:18,4.21,2026/05/01 01:09:18.871,NVIDIA GeForce RTX 3080,0,45,100.04,1710,9251,1242,10240,30,
idle,2026-05-01 01:09:20,6.3,2026/05/01 01:09:20.956,NVIDIA GeForce RTX 3080,0,45,97.49,360,810,1242,10240,30,
idle,2026-05-01 01:09:23,8.38,2026/05/01 01:09:23.037,NVIDIA GeForce RTX 3080,0,41,37.91,210,405,1242,10240,30,
idle,2026-05-01 01:09:25,10.47,2026/05/01 01:09:25.134,NVIDIA GeForce RTX 3080,3,41,35.58,210,405,1242,10240,30,
idle,2026-05-01 01:09:27,12.6,2026/05/01 01:09:27.261,NVIDIA GeForce RTX 3080,0,41,35.49,210,405,1242,10240,30,
idle,2026-05-01 01:09:29,14.71,2026/05/01 01:09:29.368,NVIDIA GeForce RTX 3080,0,41,35.40,210,405,1242,10240,30,
idle,2026-05-01 01:09:31,16.82,2026/05/01 01:09:31.482,NVIDIA GeForce RTX 3080,0,41,35.41,210,405,1242,10240,30,
idle,2026-05-01 01:09:33,18.94,2026/05/01 01:09:33.599,NVIDIA GeForce RTX 3080,0,41,35.51,210,405,1242,10240,30,
idle,2026-05-01 01:09:35,21.04,2026/05/01 01:09:35.696,NVIDIA GeForce RTX 3080,0,41,35.38,210,405,1242,10240,30,
idle,2026-05-01 01:09:37,23.12,2026/05/01 01:09:37.783,NVIDIA GeForce RTX 3080,0,40,35.51,210,405,1242,10240,30,
idle,2026-05-01 01:09:39,25.21,2026/05/01 01:09:39.865,NVIDIA GeForce RTX 3080,2,40,35.51,210,405,1242,10240,30,
idle,2026-05-01 01:09:41,27.3,2026/05/01 01:09:41.978,NVIDIA GeForce RTX 3080,0,40,35.29,210,405,1242,10240,30,
idle,2026-05-01 01:09:44,29.42,2026/05/01 01:09:44.083,NVIDIA GeForce RTX 3080,0,40,35.28,210,405,1242,10240,30,
idle,2026-05-01 01:09:46,31.52,2026/05/01 01:09:46.195,NVIDIA GeForce RTX 3080,0,40,35.38,210,405,1242,10240,30,
idle,2026-05-01 01:09:48,33.63,2026/05/01 01:09:48.292,NVIDIA GeForce RTX 3080,2,40,35.39,210,405,1242,10240,30,
idle,2026-05-01 01:09:50,35.73,2026/05/01 01:09:50.390,NVIDIA GeForce RTX 3080,0,40,35.43,210,405,1242,10240,30,
idle,2026-05-01 01:09:52,37.83,2026/05/01 01:09:52.487,NVIDIA GeForce RTX 3080,0,40,35.41,210,405,1242,10240,30,
idle,2026-05-01 01:09:54,39.91,2026/05/01 01:09:54.568,NVIDIA GeForce RTX 3080,0,40,35.36,210,405,1242,10240,30,
idle,2026-05-01 01:09:56,42.0,2026/05/01 01:09:56.659,NVIDIA GeForce RTX 3080,0,40,35.33,210,405,1242,10240,30,
idle,2026-05-01 01:09:58,44.08,2026/05/01 01:09:58.739,NVIDIA GeForce RTX 3080,0,40,35.36,210,405,1242,10240,30,
idle,2026-05-01 01:10:00,46.18,2026/05/01 01:10:00.836,NVIDIA GeForce RTX 3080,0,40,35.56,210,405,1242,10240,30,
idle,2026-05-01 01:10:02,48.26,2026/05/01 01:10:02.934,NVIDIA GeForce RTX 3080,3,40,35.53,210,405,1242,10240,30,
idle,2026-05-01 01:10:05,50.35,2026/05/01 01:10:05.014,NVIDIA GeForce RTX 3080,0,40,35.44,210,405,1242,10240,30,
idle,2026-05-01 01:10:07,52.45,2026/05/01 01:10:07.111,NVIDIA GeForce RTX 3080,0,40,35.28,210,405,1242,10240,30,
idle,2026-05-01 01:10:09,54.55,2026/05/01 01:10:09.210,NVIDIA GeForce RTX 3080,0,40,35.34,210,405,1242,10240,30,
idle,2026-05-01 01:10:11,56.63,2026/05/01 01:10:11.290,NVIDIA GeForce RTX 3080,0,40,35.36,210,405,1242,10240,30,
idle,2026-05-01 01:10:13,58.71,2026/05/01 01:10:13.372,NVIDIA GeForce RTX 3080,0,40,35.40,210,405,1242,10240,30,
idle,2026-05-01 01:10:15,60.81,2026/05/01 01:10:15.468,NVIDIA GeForce RTX 3080,0,40,35.54,210,405,1242,10240,30,
idle,2026-05-01 01:10:17,62.89,2026/05/01 01:10:17.564,NVIDIA GeForce RTX 3080,2,40,35.50,210,405,1242,10240,30,
idle,2026-05-01 01:10:19,64.99,2026/05/01 01:10:19.645,NVIDIA GeForce RTX 3080,0,40,35.41,210,405,1242,10240,30,
idle,2026-05-01 01:10:21,67.07,2026/05/01 01:10:21.727,NVIDIA GeForce RTX 3080,0,40,35.33,210,405,1242,10240,30,
idle,2026-05-01 01:10:23,69.15,2026/05/01 01:10:23.807,NVIDIA GeForce RTX 3080,0,40,35.53,210,405,1242,10240,30,
idle,2026-05-01 01:10:25,71.26,2026/05/01 01:10:25.917,NVIDIA GeForce RTX 3080,0,40,35.32,210,405,1242,10240,30,
