phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-04-30 05:50:49,0.0,2026/04/30 05:50:49.958,NVIDIA GeForce RTX 3080,0,42,68.93,1710,9251,1183,10240,30,
idle,2026-04-30 05:50:52,2.1,2026/04/30 05:50:52.051,NVIDIA GeForce RTX 3080,0,44,99.82,1710,9251,1183,10240,30,
idle,2026-04-30 05:50:54,4.22,2026/04/30 05:50:54.163,NVIDIA GeForce RTX 3080,0,45,100.15,1710,9251,1183,10240,30,
idle,2026-04-30 05:50:56,6.32,2026/04/30 05:50:56.272,NVIDIA GeForce RTX 3080,2,43,80.31,300,810,1183,10240,30,
idle,2026-04-30 05:50:58,8.43,2026/04/30 05:50:58.380,NVIDIA GeForce RTX 3080,0,41,36.04,210,405,1183,10240,30,
idle,2026-04-30 05:51:00,10.53,2026/04/30 05:51:00.479,NVIDIA GeForce RTX 3080,0,41,35.53,210,405,1183,10240,30,
idle,2026-04-30 05:51:02,12.61,2026/04/30 05:51:02.560,NVIDIA GeForce RTX 3080,0,41,35.54,210,405,1183,10240,30,
idle,2026-04-30 05:51:04,14.69,2026/04/30 05:51:04.641,NVIDIA GeForce RTX 3080,0,40,35.44,210,405,1183,10240,30,
idle,2026-04-30 05:51:06,16.77,2026/04/30 05:51:06.737,NVIDIA GeForce RTX 3080,0,40,35.41,210,405,1183,10240,30,
idle,2026-04-30 05:51:08,18.87,2026/04/30 05:51:08.820,NVIDIA GeForce RTX 3080,0,40,35.35,210,405,1183,10240,30,
idle,2026-04-30 05:51:10,20.95,2026/04/30 05:51:10.901,NVIDIA GeForce RTX 3080,0,40,35.39,210,405,1183,10240,30,
idle,2026-04-30 05:51:13,23.04,2026/04/30 05:51:12.998,NVIDIA GeForce RTX 3080,0,40,35.44,210,405,1183,10240,30,
idle,2026-04-30 05:51:15,25.15,2026/04/30 05:51:15.095,NVIDIA GeForce RTX 3080,0,40,35.47,210,405,1183,10240,30,
idle,2026-04-30 05:51:17,27.23,2026/04/30 05:51:17.176,NVIDIA GeForce RTX 3080,0,40,35.39,210,405,1183,10240,30,
idle,2026-04-30 05:51:19,29.31,2026/04/30 05:51:19.259,NVIDIA GeForce RTX 3080,2,40,35.52,210,405,1183,10240,30,
idle,2026-04-30 05:51:21,31.39,2026/04/30 05:51:21.355,NVIDIA GeForce RTX 3080,0,40,35.45,210,405,1183,10240,30,
idle,2026-04-30 05:51:23,33.49,2026/04/30 05:51:23.439,NVIDIA GeForce RTX 3080,0,40,35.36,210,405,1183,10240,30,
idle,2026-04-30 05:51:25,35.58,2026/04/30 05:51:25.530,NVIDIA GeForce RTX 3080,0,40,35.38,210,405,1183,10240,30,
idle,2026-04-30 05:51:27,37.7,2026/04/30 05:51:27.644,NVIDIA GeForce RTX 3080,0,40,35.33,210,405,1183,10240,30,
idle,2026-04-30 05:51:29,39.78,2026/04/30 05:51:29.728,NVIDIA GeForce RTX 3080,0,40,35.36,210,405,1183,10240,30,
idle,2026-04-30 05:51:31,41.88,2026/04/30 05:51:31.826,NVIDIA GeForce RTX 3080,0,40,35.45,210,405,1183,10240,30,
idle,2026-04-30 05:51:33,43.96,2026/04/30 05:51:33.926,NVIDIA GeForce RTX 3080,2,40,35.53,210,405,1183,10240,30,
idle,2026-04-30 05:51:36,46.06,2026/04/30 05:51:36.006,NVIDIA GeForce RTX 3080,0,40,35.36,210,405,1183,10240,30,
idle,2026-04-30 05:51:38,48.15,2026/04/30 05:51:38.097,NVIDIA GeForce RTX 3080,0,40,35.43,210,405,1183,10240,30,
idle,2026-04-30 05:51:40,50.23,2026/04/30 05:51:40.179,NVIDIA GeForce RTX 3080,0,40,35.28,210,405,1184,10240,30,
idle,2026-04-30 05:51:42,52.32,2026/04/30 05:51:42.279,NVIDIA GeForce RTX 3080,0,40,35.34,210,405,1184,10240,30,
idle,2026-04-30 05:51:44,54.41,2026/04/30 05:51:44.360,NVIDIA GeForce RTX 3080,0,40,35.33,210,405,1184,10240,30,
