phase,wall_time,elapsed_sec,gpu_timestamp,gpu_name,utilization_gpu_percent,temperature_gpu_c,power_draw_w,clock_sm_mhz,clock_mem_mhz,memory_used_mb,memory_total_mb,fan_speed_percent,loss
idle,2026-05-06 07:17:58,0.0,2026/05/06 07:17:58.954,NVIDIA GeForce RTX 3080,0,45,100.04,1710,9251,1345,10240,30,
idle,2026-05-06 07:18:01,2.08,2026/05/06 07:18:01.038,NVIDIA GeForce RTX 3080,1,45,99.90,1710,9251,1345,10240,30,
idle,2026-05-06 07:18:03,4.16,2026/05/06 07:18:03.103,NVIDIA GeForce RTX 3080,0,46,99.96,1710,9251,1345,10240,30,
idle,2026-05-06 07:18:05,6.23,2026/05/06 07:18:05.174,NVIDIA GeForce RTX 3080,0,43,65.08,285,810,1345,10240,30,
idle,2026-05-06 07:18:07,8.32,2026/05/06 07:18:07.276,NVIDIA GeForce RTX 3080,2,42,36.02,210,405,1345,10240,30,
idle,2026-05-06 07:18:09,10.4,2026/05/06 07:18:09.356,NVIDIA GeForce RTX 3080,0,41,35.74,210,405,1345,10240,30,
idle,2026-05-06 07:18:11,12.48,2026/05/06 07:18:11.420,NVIDIA GeForce RTX 3080,0,41,35.65,210,405,1345,10240,30,
idle,2026-05-06 07:18:13,14.55,2026/05/06 07:18:13.486,NVIDIA GeForce RTX 3080,3,41,35.86,210,405,1345,10240,30,
idle,2026-05-06 07:18:15,16.62,2026/05/06 07:18:15.582,NVIDIA GeForce RTX 3080,0,41,35.68,210,405,1345,10240,30,
idle,2026-05-06 07:18:17,18.71,2026/05/06 07:18:17.667,NVIDIA GeForce RTX 3080,1,41,35.90,210,405,1342,10240,30,
idle,2026-05-06 07:18:19,20.79,2026/05/06 07:18:19.748,NVIDIA GeForce RTX 3080,3,41,35.83,210,405,1342,10240,30,
idle,2026-05-06 07:18:21,22.89,2026/05/06 07:18:21.847,NVIDIA GeForce RTX 3080,0,41,35.66,210,405,1342,10240,30,
idle,2026-05-06 07:18:23,25.0,2026/05/06 07:18:23.955,NVIDIA GeForce RTX 3080,0,41,35.66,210,405,1342,10240,30,
idle,2026-05-06 07:18:26,27.09,2026/05/06 07:18:26.042,NVIDIA GeForce RTX 3080,4,41,35.81,210,405,1341,10240,30,
idle,2026-05-06 07:18:28,29.17,2026/05/06 07:18:28.107,NVIDIA GeForce RTX 3080,0,41,35.56,210,405,1341,10240,30,
idle,2026-05-06 07:18:30,31.24,2026/05/06 07:18:30.177,NVIDIA GeForce RTX 3080,1,41,35.58,210,405,1341,10240,30,
idle,2026-05-06 07:18:32,33.31,2026/05/06 07:18:32.264,NVIDIA GeForce RTX 3080,3,41,35.63,210,405,1340,10240,30,
idle,2026-05-06 07:18:34,35.39,2026/05/06 07:18:34.345,NVIDIA GeForce RTX 3080,1,41,35.71,210,405,1340,10240,30,
idle,2026-05-06 07:18:36,37.47,2026/05/06 07:18:36.410,NVIDIA GeForce RTX 3080,1,41,35.71,210,405,1340,10240,30,
idle,2026-05-06 07:18:38,39.53,2026/05/06 07:18:38.472,NVIDIA GeForce RTX 3080,3,41,35.65,210,405,1340,10240,30,
idle,2026-05-06 07:18:40,41.62,2026/05/06 07:18:40.579,NVIDIA GeForce RTX 3080,0,41,35.78,210,405,1340,10240,30,
idle,2026-05-06 07:18:42,43.71,2026/05/06 07:18:42.666,NVIDIA GeForce RTX 3080,0,41,35.88,210,405,1340,10240,30,
idle,2026-05-06 07:18:44,45.8,2026/05/06 07:18:44.736,NVIDIA GeForce RTX 3080,3,41,35.75,210,405,1340,10240,30,
idle,2026-05-06 07:18:46,47.87,2026/05/06 07:18:46.825,NVIDIA GeForce RTX 3080,0,40,35.74,210,405,1340,10240,30,
idle,2026-05-06 07:18:48,49.96,2026/05/06 07:18:48.896,NVIDIA GeForce RTX 3080,0,40,35.65,210,405,1341,10240,30,
idle,2026-05-06 07:18:50,52.03,2026/05/06 07:18:50.982,NVIDIA GeForce RTX 3080,0,40,35.55,210,405,1341,10240,30,
idle,2026-05-06 07:18:53,54.13,2026/05/06 07:18:53.073,NVIDIA GeForce RTX 3080,0,40,35.63,210,405,1341,10240,30,
idle,2026-05-06 07:18:55,56.19,2026/05/06 07:18:55.149,NVIDIA GeForce RTX 3080,0,40,35.52,210,405,1341,10240,30,
idle,2026-05-06 07:18:57,58.29,2026/05/06 07:18:57.246,NVIDIA GeForce RTX 3080,0,40,35.61,210,405,1341,10240,30,
idle,2026-05-06 07:18:59,60.38,2026/05/06 07:18:59.334,NVIDIA GeForce RTX 3080,0,40,35.67,210,405,1341,10240,30,
idle,2026-05-06 07:19:01,62.46,2026/05/06 07:19:01.401,NVIDIA GeForce RTX 3080,0,40,35.57,210,405,1341,10240,30,
idle,2026-05-06 07:19:03,64.53,2026/05/06 07:19:03.482,NVIDIA GeForce RTX 3080,0,40,35.62,210,405,1341,10240,30,
idle,2026-05-06 07:19:05,66.61,2026/05/06 07:19:05.567,NVIDIA GeForce RTX 3080,0,40,35.58,210,405,1341,10240,30,
idle,2026-05-06 07:19:07,68.69,2026/05/06 07:19:07.646,NVIDIA GeForce RTX 3080,0,40,35.54,210,405,1341,10240,30,
idle,2026-05-06 07:19:09,70.78,2026/05/06 07:19:09.717,NVIDIA GeForce RTX 3080,0,40,35.80,210,405,1341,10240,30,
idle,2026-05-06 07:19:11,72.85,2026/05/06 07:19:11.804,NVIDIA GeForce RTX 3080,0,40,35.67,210,405,1341,10240,30,
idle,2026-05-06 07:19:13,74.93,2026/05/06 07:19:13.887,NVIDIA GeForce RTX 3080,0,40,35.75,210,405,1341,10240,30,
idle,2026-05-06 07:19:15,77.03,2026/05/06 07:19:15.971,NVIDIA GeForce RTX 3080,1,40,35.63,210,405,1341,10240,30,
idle,2026-05-06 07:19:18,79.1,2026/05/06 07:19:18.058,NVIDIA GeForce RTX 3080,1,40,35.92,210,405,1341,10240,30,
idle,2026-05-06 07:19:20,81.19,2026/05/06 07:19:20.144,NVIDIA GeForce RTX 3080,0,40,35.84,210,405,1341,10240,30,
idle,2026-05-06 07:19:22,83.27,2026/05/06 07:19:22.209,NVIDIA GeForce RTX 3080,3,40,35.65,210,405,1341,10240,30,
idle,2026-05-06 07:19:24,85.33,2026/05/06 07:19:24.275,NVIDIA GeForce RTX 3080,0,40,35.66,210,405,1341,10240,30,
idle,2026-05-06 07:19:26,87.4,2026/05/06 07:19:26.341,NVIDIA GeForce RTX 3080,0,40,35.82,210,405,1341,10240,30,
idle,2026-05-06 07:19:28,89.47,2026/05/06 07:19:28.423,NVIDIA GeForce RTX 3080,0,40,35.74,210,405,1341,10240,30,
idle,2026-05-06 07:19:30,91.54,2026/05/06 07:19:30.501,NVIDIA GeForce RTX 3080,0,40,35.65,210,405,1341,10240,30,
idle,2026-05-06 07:19:32,93.62,2026/05/06 07:19:32.565,NVIDIA GeForce RTX 3080,0,40,35.57,210,405,1341,10240,30,
idle,2026-05-06 07:19:34,95.7,2026/05/06 07:19:34.636,NVIDIA GeForce RTX 3080,0,40,35.67,210,405,1341,10240,30,
idle,2026-05-06 07:19:36,97.77,2026/05/06 07:19:36.708,NVIDIA GeForce RTX 3080,0,40,35.73,210,405,1341,10240,30,
idle,2026-05-06 07:19:38,99.85,2026/05/06 07:19:38.801,NVIDIA GeForce RTX 3080,0,40,35.62,210,405,1341,10240,30,
idle,2026-05-06 07:19:40,101.96,2026/05/06 07:19:40.911,NVIDIA GeForce RTX 3080,0,40,35.63,210,405,1341,10240,30,
idle,2026-05-06 07:19:43,104.04,2026/05/06 07:19:42.995,NVIDIA GeForce RTX 3080,0,40,35.81,210,405,1341,10240,30,
idle,2026-05-06 07:19:45,106.12,2026/05/06 07:19:45.064,NVIDIA GeForce RTX 3080,0,40,35.66,210,405,1341,10240,30,
idle,2026-05-06 07:19:47,108.19,2026/05/06 07:19:47.151,NVIDIA GeForce RTX 3080,0,40,35.43,210,405,1341,10240,30,
idle,2026-05-06 07:19:49,110.3,2026/05/06 07:19:49.236,NVIDIA GeForce RTX 3080,0,40,35.65,210,405,1341,10240,30,
idle,2026-05-06 07:19:51,112.38,2026/05/06 07:19:51.331,NVIDIA GeForce RTX 3080,0,40,35.57,210,405,1341,10240,30,
idle,2026-05-06 07:19:53,114.46,2026/05/06 07:19:53.412,NVIDIA GeForce RTX 3080,0,40,35.22,210,405,1341,10240,30,
idle,2026-05-06 07:19:55,116.54,2026/05/06 07:19:55.499,NVIDIA GeForce RTX 3080,2,40,35.29,210,405,1341,10240,30,
